zname,ename,lon,lat,geohash
iBike1.0_臺中火車站(復興路),iBike1.0_Taichung Railway Station(Fuxing Rd.),120.68631,24.136,wsmc63c46
iBike1.0_北區國民運動中心,iBike1.0_North District Civil Sports Center,120.68484,24.15716,wsmc6m8j8
iBike1.0_高登公園,iBike1.0_Gaodeng Park,120.66571,24.17106,wsmc9b4nd
iBike1.0_新建國市場(5號門),iBike1.0_New Jianguo Market (Gate 5),120.69386,24.13401,wsmc63qwf
iBike1.0_大源公園,iBike1.0_Dayuan Park,120.72286,24.14222,wsmc74gww
iBike1.0_寶覺禪寺,iBike1.0_Bao Jue Temple,120.68795,24.15903,wsmc6q429
iBike1.0_安和國中,iBike1.0_AnHer Junior High School,120.61723,24.17396,wsmc88wz9
iBike1.0_春安國小,iBike1.0_Chun An Elementary School,120.60872,24.13454,wsmc2989f
iBike1.0_日南火車站,iBike1.0_Rinan Railway Station,120.65396,24.3781,wsmf9tcs9
iBike1.0_外埔國中,iBike1.0_Wai Pu Junior High School,120.65077,24.33218,wsmf3mx1n
iBike1.0_水安公園,iBike1.0_Shueian Park,120.64665,24.15394,wsmc3mh4y
iBike1.0_大智路停車場,iBike1.0_Dazhi Road Parking Lot,120.53398,24.25991,wsmdnb6hj
iBike1.0_四育國中,iBike1.0_Sz Yu Junior High School,120.66491,24.126,wsmc3b180
iBike1.0_東新國小,iBike1.0_Tung-Shing Elementary School,120.82761,24.26017,wsmfj2rvx
iBike1.0_三民街停車場,iBike1.0_Sanmin Street Parking Lot,120.8307,24.25244,wsmcvx40x
iBike1.0_圳前仁愛公園,iBike1.0_Zunqian Ren'ai Park,120.64873,24.25826,wsmf12jdx
iBike1.0_后里火車站,iBike1.0_Houli Station ,120.73308,24.31008,wsmf73e0k
iBike1.0_圓環北大昌街口,iBike1.0_Yuanhuan N. Rd./Dachang St.,120.71672,24.25659,wsmcfzz0z
iBike1.0_圓環西中山路口,iBike1.0_Yuanhuan W. Rd./Zhongshan Rd.,120.71263,24.25586,wsmcfzsk8
iBike1.0_臺中市眷村文物館,iBike1.0_Taichung Military Kindred Village Museum,120.69495,24.16129,wsmc6qrms
iBike1.0_光大公園,iBike1.0_Guangda Park,120.56529,24.24384,wsm9zt2yw
iBike1.0_中山光華路口,iBike1.0_Zhongshan Rd./Guanghua Rd.,120.56425,24.23736,wsm9zs20y
